run;iterations;problem;ants;OptSolution;totaltime
 10; 50; 5; 2048; 12400; 0.11917
 10; 50; 5; 2048; 12400; 0.11713
 10; 50; 5; 4096; 12400; 0.12707
 10; 50; 5; 4096; 12400; 0.12590
 10; 50; 5; 4096; 12400; 0.12703
 10; 50; 5; 4096; 12400; 0.12575
 10; 50; 5; 4096; 12400; 0.12589
 10; 50; 5; 4096; 12400; 0.12624
 10; 50; 5; 4096; 12400; 0.12608
 10; 50; 5; 4096; 12400; 0.12574
 10; 50; 5; 4096; 12400; 0.13044
 10; 50; 5; 4096; 12400; 0.12611
 10; 50; 5; 8192; 12400; 0.15713
 10; 50; 5; 8192; 12400; 0.15717
 10; 50; 5; 8192; 12400; 0.15713
 10; 50; 5; 8192; 12400; 0.16674
 10; 50; 5; 8192; 12400; 0.15970
 10; 50; 5; 8192; 12400; 0.16283
 10; 50; 5; 8192; 12400; 0.15864
 10; 50; 5; 8192; 12400; 0.15822
 10; 50; 5; 8192; 12400; 0.15736
 10; 50; 5; 8192; 12400; 0.15641
 10; 50; 6; 1024; 10604; 0.19075
 10; 50; 6; 1024; 10618; 0.17232
 10; 50; 6; 1024; 10618; 0.17256
 10; 50; 6; 1024; 10586; 0.17320
 10; 50; 6; 1024; 10618; 0.17442
 10; 50; 6; 1024; 10618; 0.17384
 10; 50; 6; 1024; 10605; 0.17472
 10; 50; 6; 1024; 10601; 0.17500
 10; 50; 6; 1024; 10585; 0.17437
 10; 50; 6; 1024; 10586; 0.17460
 10; 50; 6; 2048; 10618; 0.17797
 10; 50; 6; 2048; 10602; 0.17705
 10; 50; 6; 2048; 10602; 0.17781
 10; 50; 6; 2048; 10605; 0.17767
 10; 50; 6; 2048; 10618; 0.17759
 10; 50; 6; 2048; 10604; 0.17809
 10; 50; 6; 2048; 10618; 0.17751
 10; 50; 6; 2048; 10618; 0.17991
 10; 50; 6; 2048; 10588; 0.17697
 10; 50; 6; 2048; 10601; 0.17878
 10; 50; 6; 4096; 10618; 0.18773
 10; 50; 6; 4096; 10618; 0.18778
 10; 50; 6; 4096; 10618; 0.18714
 10; 50; 6; 4096; 10604; 0.18775
 10; 50; 6; 4096; 10618; 0.18740
 10; 50; 6; 4096; 10618; 0.18795
 10; 50; 6; 4096; 10618; 0.18707
 10; 50; 6; 4096; 10618; 0.18722
 10; 50; 6; 4096; 10618; 0.18702
 10; 50; 6; 4096; 10618; 0.18707
 10; 50; 6; 8192; 10618; 0.24063
 10; 50; 6; 8192; 10618; 0.24166
 10; 50; 6; 8192; 10618; 0.24141
 10; 50; 6; 8192; 10618; 0.24101
 10; 50; 6; 8192; 10618; 0.24074
 10; 50; 6; 8192; 10618; 0.24193
 10; 50; 6; 8192; 10618; 0.24334
 10; 50; 6; 8192; 10618; 0.24266
 10; 50; 6; 8192; 10618; 0.24189
 10; 50; 6; 8192; 10618; 0.24106
 10; 50; 7; 1024; 16519; 0.28235
 10; 50; 7; 1024; 16486; 0.26962
 10; 50; 7; 1024; 16456; 0.27115
 10; 50; 7; 1024; 16447; 0.27149
 10; 50; 7; 1024; 16511; 0.27091
 10; 50; 7; 1024; 16450; 0.27173
 10; 50; 7; 1024; 16457; 0.27332
 10; 50; 7; 1024; 16457; 0.27169
 10; 50; 7; 1024; 16439; 0.27084
 10; 50; 7; 1024; 16426; 0.27132
 10; 50; 7; 2048; 16473; 0.27553
 10; 50; 7; 2048; 16471; 0.27777
 10; 50; 7; 2048; 16468; 0.27829
 10; 50; 7; 2048; 16459; 0.27891
 10; 50; 7; 2048; 16499; 0.27763
 10; 50; 7; 2048; 16470; 0.27733
