run, iterations, problem, colony size, Setup rand Kernel, read map, Distance Kernel, Iroulete , Route , Pheromone, Best Check,  Copy Data,Fitness ,Total Time,,
1,15,2,8192,0.00011,0.01124,0.00089,0.01483,7.55271,0.04021,0.04021,6E-05,15755.964496,113.948706,read,0.012618
2,15,2,8192,0.00011,0.01539,0.00089,0.01483,7.5322,0.04015,0.04015,6E-05,15649.331041,113.643568,dist,0.000892
3,15,2,8192,0.00011,0.01387,0.00089,0.01486,7.48175,0.04016,0.04016,6E-05,15828.903016,112.884886,roulete,0.01487
4,15,2,8192,0.00011,0.01134,0.00089,0.01486,7.4837,0.04022,0.04022,8E-05,15909.69856,112.913268,route,7.514782
0,,,,,,,,,,,,,,phero,0.040174
0,,,,,,,,,,,,,,check,0.040174
0,,,,,,,,,,,,,,cpy,0.000308
0,,,,,,,,,,,,,,total,113.3803606
0,15,3,1024,0.00254,0.00153,7E-05,0.00298,0.06964,0.00025,0.00025,2E-05,10980.141362,1.195201,rand,0.000566
1,15,3,1024,8E-05,0.00074,5E-05,0.00206,0.06591,0.00025,0.00025,6E-05,11149.606775,0.998712,read,0.000898
2,15,3,1024,7E-05,0.00077,5E-05,0.00206,0.06603,0.00024,0.00024,2E-05,10934.736269,1.00043,dist,5.4E-05
3,15,3,1024,7E-05,0.00072,5E-05,0.00206,0.0662,0.00024,0.00024,2E-05,10984.567777,1.002565,roulete,0.002242
4,15,3,1024,7E-05,0.00073,5E-05,0.00205,0.06578,0.00024,0.00024,2E-05,10902.36967,0.99654,route,0.066712
0,,,,,,,,,,,,,,phero,0.000244
0,,,,,,,,,,,,,,check,0.000244
0,,,,,,,,,,,,,,cpy,2.8E-05
0,,,,,,,,,,,,,,total,1.0386896
0,15,3,2048,9E-05,0.00078,5E-05,0.00205,0.06651,0.00046,0.00046,5E-05,10473.92559,1.01246,rand,8.2E-05
1,15,3,2048,8E-05,0.00074,5E-05,0.00206,0.06632,0.00046,0.00046,5E-05,10852.969974,1.009816,read,0.000742
2,15,3,2048,8E-05,0.00076,6E-05,0.00206,0.06625,0.00046,0.00046,2E-05,10886.732575,1.008842,dist,5.2E-05
3,15,3,2048,8E-05,0.00069,5E-05,0.00206,0.06627,0.00046,0.00046,2E-05,10738.504508,1.00907,roulete,0.002056
4,15,3,2048,8E-05,0.00074,5E-05,0.00205,0.06626,0.00046,0.00046,2E-05,10942.94341,1.008892,route,0.066322
0,,,,,,,,,,,,,,phero,0.00046
0,,,,,,,,,,,,,,check,0.00046
0,,,,,,,,,,,,,,cpy,3.2E-05
0,,,,,,,,,,,,,,total,1.009816
0,15,3,4096,8E-05,0.00075,5E-05,0.00206,0.0736,0.00089,0.00089,2E-05,10585.985612,1.1286,rand,8.8E-05
1,15,3,4096,9E-05,0.00068,5E-05,0.00206,0.07345,0.00089,0.00089,5E-05,10702.751252,1.129735,read,0.000726
2,15,3,4096,9E-05,0.00074,5E-05,0.00206,0.07339,0.00089,0.00089,2E-05,10960.108775,1.125547,dist,5E-05
3,15,3,4096,9E-05,0.00072,5E-05,0.00206,0.07349,0.00089,0.00089,2E-05,10556.166591,1.127058,roulete,0.00206
4,15,3,4096,9E-05,0.00074,5E-05,0.00206,0.07356,0.00089,0.00089,2E-05,10812.230678,1.127916,route,0.073498
0,,,,,,,,,,,,,,phero,0.00089
0,,,,,,,,,,,,,,check,0.00089
0,,,,,,,,,,,,,,cpy,2.6E-05
0,,,,,,,,,,,,,,total,1.1277712
0,15,3,8192,0.00011,0.00073,5E-05,0.00206,0.11954,0.00177,0.00177,5E-05,10693.566656,1.838447,rand,0.000108
1,15,3,8192,0.00011,0.00068,5E-05,0.00208,0.11933,0.00176,0.00176,2E-05,10567.59258,1.834828,read,0.000702
2,15,3,8192,0.0001,0.00067,5E-05,0.00207,0.11953,0.00176,0.00176,2E-05,10981.670155,1.837625,dist,5E-05
3,15,3,8192,0.00011,0.00074,5E-05,0.00207,0.11936,0.00176,0.00176,2E-05,10870.104095,1.835532,roulete,0.00207
4,15,3,8192,0.00011,0.00069,5E-05,0.00207,0.1198,0.00177,0.00177,2E-05,10905.426773,1.842021,route,0.119512
0,,,,,,,,,,,,,,phero,0.001764
0,,,,,,,,,,,,,,check,0.001764
0,,,,,,,,,,,,,,cpy,2.6E-05
