 1024 , 0, 50 , 60 , 0.1720, 0.1742, 21 ,
 1024 , 0, 50 , 60 , 0.1323, 0.1340, 21 ,
 1024 , 0, 50 , 60 , 0.1323, 0.1339, 21 ,
 1024 , 0, 50 , 60 , 0.1320, 0.1371, 21 ,
 1024 , 0, 50 , 60 , 0.1321, 0.1338, 21 ,
 1024 , 0, 50 , 60 , 0.1321, 0.1338, 21 ,
 1024 , 0, 50 , 60 , 0.1324, 0.1342, 21 ,
 1024 , 0, 50 , 60 , 0.1324, 0.1340, 21 ,
 1024 , 0, 50 , 60 , 0.1324, 0.1341, 21 ,
 1024 , 0, 50 , 60 , 0.1326, 0.1342, 21 , 21.000000 
 2048 , 0, 50 , 60 , 0.1522, 0.1548, 21 ,
 2048 , 0, 50 , 60 , 0.1522, 0.1548, 21 ,
 2048 , 0, 50 , 60 , 0.1519, 0.1546, 21 ,
 2048 , 0, 50 , 60 , 0.1519, 0.1545, 21 ,
 2048 , 0, 50 , 60 , 0.1519, 0.1545, 21 ,
 2048 , 0, 50 , 60 , 0.1518, 0.1545, 21 ,
 2048 , 0, 50 , 60 , 0.1518, 0.1544, 21 ,
 2048 , 0, 50 , 60 , 0.1518, 0.1545, 21 ,
 2048 , 0, 50 , 60 , 0.1518, 0.1544, 21 ,
 2048 , 0, 50 , 60 , 0.1517, 0.1545, 21 , 21.000000 
 4096 , 0, 50 , 60 , 0.1675, 0.1721, 21 ,
 4096 , 0, 50 , 60 , 0.1675, 0.1721, 21 ,
 4096 , 0, 50 , 60 , 0.1676, 0.1723, 21 ,
 4096 , 0, 50 , 60 , 0.1675, 0.1720, 21 ,
 4096 , 0, 50 , 60 , 0.1674, 0.1720, 21 ,
 4096 , 0, 50 , 60 , 0.1676, 0.1723, 21 ,
 4096 , 0, 50 , 60 , 0.1676, 0.1722, 21 ,
 4096 , 0, 50 , 60 , 0.1675, 0.1721, 21 ,
 4096 , 0, 50 , 60 , 0.1675, 0.1722, 21 ,
 4096 , 0, 50 , 60 , 0.1676, 0.1722, 21 , 21.000000 
 8192 , 0, 50 , 60 , 0.2113, 0.2198, 21 ,
 8192 , 0, 50 , 60 , 0.2125, 0.2210, 21 ,
 8192 , 0, 50 , 60 , 0.2126, 0.2212, 21 ,
 8192 , 0, 50 , 60 , 0.2126, 0.2211, 21 ,
 8192 , 0, 50 , 60 , 0.2126, 0.2212, 21 ,
 8192 , 0, 50 , 60 , 0.2126, 0.2212, 21 ,
 8192 , 0, 50 , 60 , 0.2127, 0.2213, 21 ,
 8192 , 0, 50 , 60 , 0.2126, 0.2212, 21 ,
 8192 , 0, 50 , 60 , 0.2127, 0.2212, 21 ,
 8192 , 0, 50 , 60 , 0.2127, 0.2212, 21 , 21.000000 
 End Of Execution 
