 1024 , 358 , 402 , 3.8532, 3.8593, 134 ,
 1024 , 358 , 402 , 3.7884, 3.7944, 134 ,
 1024 , 358 , 402 , 3.7877, 3.7938, 134 ,
 1024 , 358 , 402 , 3.8180, 3.8241, 134 ,
 1024 , 358 , 402 , 3.8124, 3.8185, 134 ,
 1024 , 358 , 402 , 3.8176, 3.8237, 134 ,
 1024 , 358 , 402 , 3.8181, 3.8242, 134 ,
 1024 , 358 , 402 , 3.8162, 3.8223, 134 ,
 1024 , 358 , 402 , 3.8175, 3.8236, 134 ,
 1024 , 358 , 402 , 3.8128, 3.8189, 134 , 134.000000 
 2048 , 358 , 402 , 4.6660, 4.6750, 134 ,
 2048 , 358 , 402 , 4.6670, 4.6761, 134 ,
 2048 , 358 , 402 , 4.6837, 4.6928, 134 ,
 2048 , 358 , 402 , 4.7032, 4.7155, 134 ,
 2048 , 358 , 402 , 4.7027, 4.7118, 134 ,
 2048 , 358 , 402 , 4.6960, 4.7051, 134 ,
 2048 , 358 , 402 , 4.7023, 4.7114, 134 ,
 2048 , 358 , 402 , 4.7005, 4.7096, 134 ,
 2048 , 358 , 402 , 4.6988, 4.7080, 134 ,
 2048 , 358 , 402 , 4.7154, 4.7250, 134 , 134.000000 
 4096 , 358 , 402 , 5.6281, 5.6417, 134 ,
 4096 , 358 , 402 , 5.6234, 5.6370, 134 ,
 4096 , 358 , 402 , 5.6259, 5.6395, 134 ,
 4096 , 358 , 402 , 5.6315, 5.6451, 134 ,
 4096 , 358 , 402 , 5.6296, 5.6432, 134 ,
 4096 , 358 , 402 , 5.6271, 5.6407, 134 ,
 4096 , 358 , 402 , 5.6296, 5.6432, 134 ,
 4096 , 358 , 402 , 5.6463, 5.6599, 134 ,
 4096 , 358 , 402 , 5.6671, 5.6807, 134 ,
 4096 , 358 , 402 , 5.6637, 5.6775, 134 , 134.000000 
 8192 , 358 , 402 , 7.3773, 7.3974, 134 ,
 8192 , 358 , 402 , 7.3809, 7.4011, 134 ,
 8192 , 358 , 402 , 7.3758, 7.3959, 134 ,
 8192 , 358 , 402 , 7.3809, 7.4011, 134 ,
 8192 , 358 , 402 , 7.3742, 7.3943, 134 ,
 8192 , 358 , 402 , 7.3748, 7.3950, 134 ,
 8192 , 358 , 402 , 7.3769, 7.3971, 134 ,
 8192 , 358 , 402 , 7.3795, 7.3997, 134 ,
 8192 , 358 , 402 , 7.3780, 7.3981, 134 ,
 8192 , 358 , 402 , 7.3762, 7.3964, 134 , 134.000000 
 End Of Execution 
