run;iterations;problem;ants;OptSolution;totaltime
 10; 50; 5; 2048; 12400; 0.25088
 10; 50; 5; 2048; 12400; 0.25063
 10; 50; 5; 4096; 12400; 0.25928
 10; 50; 5; 4096; 12400; 0.25896
 10; 50; 5; 4096; 12400; 0.26018
 10; 50; 5; 4096; 12400; 0.26032
 10; 50; 5; 4096; 12400; 0.25905
 10; 50; 5; 4096; 12400; 0.26125
 10; 50; 5; 4096; 12400; 0.25885
 10; 50; 5; 4096; 12400; 0.26083
 10; 50; 5; 4096; 12400; 0.25971
 10; 50; 5; 4096; 12400; 0.26013
 10; 50; 5; 8192; 12400; 0.36658
 10; 50; 5; 8192; 12400; 0.36726
 10; 50; 5; 8192; 12400; 0.36712
 10; 50; 5; 8192; 12400; 0.36722
 10; 50; 5; 8192; 12400; 0.36782
 10; 50; 5; 8192; 12400; 0.36994
 10; 50; 5; 8192; 12400; 0.36997
 10; 50; 5; 8192; 12400; 0.36926
 10; 50; 5; 8192; 12400; 0.36904
 10; 50; 5; 8192; 12400; 0.37049
 10; 50; 6; 1024; 10589; 0.41040
 10; 50; 6; 1024; 10589; 0.40359
 10; 50; 6; 1024; 10587; 0.39876
 10; 50; 6; 1024; 10586; 0.39779
 10; 50; 6; 1024; 10585; 0.39573
 10; 50; 6; 1024; 10588; 0.40428
 10; 50; 6; 1024; 10587; 0.40320
 10; 50; 6; 1024; 10600; 0.39633
 10; 50; 6; 1024; 10618; 0.40052
 10; 50; 6; 1024; 10605; 0.39903
 10; 50; 6; 2048; 10601; 0.40696
 10; 50; 6; 2048; 10601; 0.40770
 10; 50; 6; 2048; 10604; 0.40766
 10; 50; 6; 2048; 10618; 0.40563
 10; 50; 6; 2048; 10618; 0.40677
 10; 50; 6; 2048; 10618; 0.40826
 10; 50; 6; 2048; 10589; 0.40759
 10; 50; 6; 2048; 10618; 0.40905
 10; 50; 6; 2048; 10605; 0.40679
 10; 50; 6; 2048; 10618; 0.40794
 10; 50; 6; 4096; 10605; 0.41853
 10; 50; 6; 4096; 10618; 0.41824
 10; 50; 6; 4096; 10618; 0.42052
 10; 50; 6; 4096; 10618; 0.44830
 10; 50; 6; 4096; 10618; 0.41953
 10; 50; 6; 4096; 10605; 0.41748
 10; 50; 6; 4096; 10602; 0.42036
 10; 50; 6; 4096; 10618; 0.42008
 10; 50; 6; 4096; 10605; 0.42079
 10; 50; 6; 4096; 10618; 0.42080
 10; 50; 6; 8192; 10618; 0.58757
 10; 50; 6; 8192; 10604; 0.59195
 10; 50; 6; 8192; 10618; 0.59141
 10; 50; 6; 8192; 10618; 0.58887
 10; 50; 6; 8192; 10618; 0.59001
 10; 50; 6; 8192; 10618; 0.61244
 10; 50; 6; 8192; 10618; 0.58959
 10; 50; 6; 8192; 10618; 0.59036
 10; 50; 6; 8192; 10618; 0.58901
 10; 50; 6; 8192; 10618; 0.59005
 10; 50; 7; 1024; 16427; 0.63959
 10; 50; 7; 1024; 16472; 0.64115
 10; 50; 7; 1024; 16457; 0.63790
 10; 50; 7; 1024; 16477; 0.63207
 10; 50; 7; 1024; 16490; 0.63821
 10; 50; 7; 1024; 16443; 0.63217
 10; 50; 7; 1024; 16434; 0.63234
 10; 50; 7; 1024; 16494; 0.63333
 10; 50; 7; 1024; 16410; 0.63380
 10; 50; 7; 1024; 16434; 0.63415
 10; 50; 7; 2048; 16440; 0.64567
 10; 50; 7; 2048; 16486; 0.64316
 10; 50; 7; 2048; 16496; 0.64427
 10; 50; 7; 2048; 16449; 0.64179
 10; 50; 7; 2048; 16474; 0.64234
 10; 50; 7; 2048; 16494; 0.63999
 10; 50; 7; 2048; 16504; 0.64738
 10; 50; 7; 2048; 16487; 0.64633
 10; 50; 7; 2048; 16470; 0.64012
 10; 50; 7; 2048; 16488; 0.63801
 10; 50; 7; 4096; 16462; 0.65637
