Ants;Problem;itemtypes;itemcount;Time;packingtimeperiteration;OptSolution;

1024; 0; 50; 60; 0.1815, 0.18438;  21;
1024; 0; 50; 60; 0.1281, 0.13028;  21;
1024; 0; 50; 60; 0.1277, 0.12990;  21;
1024; 0; 50; 60; 0.1279, 0.13009;  21;
1024; 0; 50; 60; 0.1278, 0.13013;  21;
1024; 0; 50; 60; 0.1280, 0.13019;  21;
1024; 0; 50; 60; 0.1280, 0.13017;  21;
1024; 0; 50; 60; 0.1273, 0.12961;  21;
1024; 0; 50; 60; 0.1273, 0.12967;  21;
1024; 0; 50; 60; 0.1276, 0.12999;  21;
2048; 0; 50; 60; 0.1458, 0.14846;  21;
2048; 0; 50; 60; 0.1471, 0.14972;  21;
2048; 0; 50; 60; 0.1467, 0.14944;  21;
2048; 0; 50; 60; 0.1470, 0.14978;  21;
2048; 0; 50; 60; 0.1457, 0.14826;  21;
2048; 0; 50; 60; 0.1457, 0.14825;  21;
2048; 0; 50; 60; 0.1463, 0.14899;  21;
2048; 0; 50; 60; 0.1459, 0.14842;  21;
2048; 0; 50; 60; 0.1459, 0.14842;  21;
2048; 0; 50; 60; 0.2069, 0.21036;  21;
4096; 0; 50; 60; 0.2261, 0.23093;  21;
4096; 0; 50; 60; 0.2051, 0.20952;  21;
4096; 0; 50; 60; 0.1999, 0.20418;  21;
4096; 0; 50; 60; 0.1628, 0.16653;  21;
4096; 0; 50; 60; 0.1613, 0.16502;  21;
4096; 0; 50; 60; 0.1613, 0.16500;  21;
4096; 0; 50; 60; 0.1612, 0.16480;  21;
4096; 0; 50; 60; 0.1611, 0.16478;  21;
4096; 0; 50; 60; 0.1618, 0.16561;  21;
4096; 0; 50; 60; 0.1617, 0.16550;  21;
8192; 0; 50; 60; 0.2067, 0.21175;  21;
8192; 0; 50; 60; 0.2067, 0.21203;  21;
8192; 0; 50; 60; 0.2068, 0.21186;  21;
8192; 0; 50; 60; 0.2075, 0.21275;  20;
8192; 0; 50; 60; 0.2077, 0.21280;  20;
8192; 0; 50; 60; 0.2064, 0.21161;  21;
8192; 0; 50; 60; 0.2072, 0.21243;  21;
8192; 0; 50; 60; 0.2071, 0.21232;  21;
8192; 0; 50; 60; 0.2065, 0.21167;  21;
8192; 0; 50; 60; 0.2065, 0.21171;  21;
1024; 1; 166; 201; 0.8158, 0.82344;  66;
1024; 1; 166; 201; 0.8150, 0.82280;  66;
1024; 1; 166; 201; 0.8157, 0.82337;  66;
1024; 1; 166; 201; 0.8144, 0.82204;  66;
1024; 1; 166; 201; 0.8166, 0.82416;  66;
1024; 1; 166; 201; 0.8175, 0.82520;  66;
1024; 1; 166; 201; 0.8160, 0.82358;  66;
1024; 1; 166; 201; 0.8165, 0.82429;  66;
1024; 1; 166; 201; 0.8162, 0.82389;  66;
1024; 1; 166; 201; 0.8201, 0.82773;  66;
2048; 1; 166; 201; 1.0428, 1.05412;  66;
2048; 1; 166; 201; 1.0420, 1.05306;  66;
2048; 1; 166; 201; 1.0407, 1.05239;  66;
2048; 1; 166; 201; 1.0421, 1.05326;  66;
2048; 1; 166; 201; 1.0415, 1.05269;  66;
2048; 1; 166; 201; 1.0402, 1.05130;  66;
2048; 1; 166; 201; 1.0423, 1.05397;  66;
2048; 1; 166; 201; 1.0413, 1.05246;  66;
2048; 1; 166; 201; 1.0450, 1.05612;  66;
2048; 1; 166; 201; 1.0415, 1.05306;  66;
4096; 1; 166; 201; 1.2817, 1.29860;  66;
4096; 1; 166; 201; 1.2727, 1.28871;  66;
4096; 1; 166; 201; 1.2663, 1.28132;  66;
4096; 1; 166; 201; 1.2813, 1.29734;  66;
4096; 1; 166; 201; 1.2696, 1.28504;  66;
4096; 1; 166; 201; 1.2784, 1.29502;  66;
4096; 1; 166; 201; 1.2701, 1.28526;  66;
4096; 1; 166; 201; 1.2710, 1.28616;  66;
4096; 1; 166; 201; 1.2774, 1.29361;  66;
4096; 1; 166; 201; 1.2700, 1.28513;  66;
8192; 1; 166; 201; 1.6458, 1.66694;  66;
8192; 1; 166; 201; 1.6792, 1.70186;  66;
8192; 1; 166; 201; 1.6980, 1.72254;  66;
8192; 1; 166; 201; 1.6937, 1.71794;  65;
8192; 1; 166; 201; 1.6489, 1.67009;  66;
8192; 1; 166; 201; 1.7060, 1.73041;  65;
