run;iterations;problem;ants;OptSolution;totaltime
 10; 50; 5; 2048; 12400; 0.73233
 10; 50; 5; 2048; 12400; 0.73295
 10; 50; 5; 4096; 12400; 0.88698
 10; 50; 5; 4096; 12400; 0.88459
 10; 50; 5; 4096; 12400; 0.88753
 10; 50; 5; 4096; 12400; 0.88292
 10; 50; 5; 4096; 12400; 0.88406
 10; 50; 5; 4096; 12400; 0.88930
 10; 50; 5; 4096; 12400; 0.88161
 10; 50; 5; 4096; 12400; 0.88605
 10; 50; 5; 4096; 12400; 0.88120
 10; 50; 5; 4096; 12400; 0.88607
 10; 50; 5; 8192; 12400; 1.66005
 10; 50; 5; 8192; 12400; 1.65887
 10; 50; 5; 8192; 12400; 1.66100
 10; 50; 5; 8192; 12400; 1.65726
 10; 50; 5; 8192; 12400; 1.65989
 10; 50; 5; 8192; 12400; 1.65827
 10; 50; 5; 8192; 12400; 1.66715
 10; 50; 5; 8192; 12400; 1.65873
 10; 50; 5; 8192; 12400; 1.65826
 10; 50; 5; 8192; 12400; 1.66227
 10; 50; 6; 1024; 10618; 1.01513
 10; 50; 6; 1024; 10618; 1.00280
 10; 50; 6; 1024; 10605; 1.00599
 10; 50; 6; 1024; 10604; 1.00720
 10; 50; 6; 1024; 10600; 1.00519
 10; 50; 6; 1024; 10605; 1.00111
 10; 50; 6; 1024; 10618; 1.00239
 10; 50; 6; 1024; 10604; 1.00160
 10; 50; 6; 1024; 10605; 1.00676
 10; 50; 6; 1024; 10605; 1.00623
 10; 50; 6; 2048; 10618; 1.04284
 10; 50; 6; 2048; 10618; 1.04053
 10; 50; 6; 2048; 10618; 1.04606
 10; 50; 6; 2048; 10618; 1.04259
 10; 50; 6; 2048; 10618; 1.04582
 10; 50; 6; 2048; 10618; 1.04641
 10; 50; 6; 2048; 10605; 1.04323
 10; 50; 6; 2048; 10602; 1.04528
 10; 50; 6; 2048; 10618; 1.04233
 10; 50; 6; 2048; 10618; 1.04612
 10; 50; 6; 4096; 10618; 1.37055
 10; 50; 6; 4096; 10618; 1.36620
 10; 50; 6; 4096; 10605; 1.36835
 10; 50; 6; 4096; 10618; 1.36486
 10; 50; 6; 4096; 10618; 1.37077
 10; 50; 6; 4096; 10618; 1.36817
 10; 50; 6; 4096; 10618; 1.37293
 10; 50; 6; 4096; 10618; 1.36335
 10; 50; 6; 4096; 10618; 1.36556
 10; 50; 6; 4096; 10618; 1.37103
 10; 50; 6; 8192; 10618; 2.88579
 10; 50; 6; 8192; 10618; 2.88080
 10; 50; 6; 8192; 10618; 2.88945
 10; 50; 6; 8192; 10618; 2.89034
 10; 50; 6; 8192; 10618; 2.88795
 10; 50; 6; 8192; 10618; 2.88828
 10; 50; 6; 8192; 10618; 2.89184
 10; 50; 6; 8192; 10618; 2.88417
 10; 50; 6; 8192; 10618; 2.88802
 10; 50; 6; 8192; 10618; 2.88739
 10; 50; 7; 1024; 16498; 1.58368
 10; 50; 7; 1024; 16440; 1.57819
 10; 50; 7; 1024; 16462; 1.57755
 10; 50; 7; 1024; 16504; 1.58357
 10; 50; 7; 1024; 16494; 1.57779
 10; 50; 7; 1024; 16449; 1.57910
 10; 50; 7; 1024; 16471; 1.57381
 10; 50; 7; 1024; 16492; 1.58099
 10; 50; 7; 1024; 16485; 1.57585
 10; 50; 7; 1024; 16494; 1.57344
 10; 50; 7; 2048; 16515; 1.62616
 10; 50; 7; 2048; 16471; 1.61755
 10; 50; 7; 2048; 16499; 1.62295
 10; 50; 7; 2048; 16499; 1.61920
 10; 50; 7; 2048; 16470; 1.62564
 10; 50; 7; 2048; 16499; 1.62056
 10; 50; 7; 2048; 16487; 1.62297
 10; 50; 7; 2048; 16471; 1.62060
 10; 50; 7; 2048; 16516; 1.62514
 10; 50; 7; 2048; 16475; 1.61872
 10; 50; 7; 4096; 16494; 2.19921
 10; 50; 7; 4096; 16495; 2.20003
 10; 50; 7; 4096; 16518; 2.18609
 10; 50; 7; 4096; 16504; 2.19694
 10; 50; 7; 4096; 16494; 2.19361
 10; 50; 7; 4096; 16494; 2.19215
 10; 50; 7; 4096; 16502; 2.18983
 10; 50; 7; 4096; 16502; 2.18853
 10; 50; 7; 4096; 16507; 2.19480
 10; 50; 7; 4096; 16501; 2.18723
 10; 50; 7; 8192; 16508; 4.62589
 10; 50; 7; 8192; 16507; 4.65469
 10; 50; 7; 8192; 16487; 4.63305
 10; 50; 7; 8192; 16498; 4.64448
 10; 50; 7; 8192; 16496; 4.62937
 10; 50; 7; 8192; 16518; 4.64171
 10; 50; 7; 8192; 16507; 4.63535
 10; 50; 7; 8192; 16524; 4.64638
 10; 50; 7; 8192; 16518; 4.63186
 10; 50; 7; 8192; 16499; 4.65831
